news_type,industry,product,provider,provider_location,buyer_location,bill,行业,buyer,category
第一类新闻,风能,,金盘科技,中游,下游,1.5亿元。,Industry: Energy.,甘肃瓜州宝丰风能开发有限公司,Energy
第一类新闻,CDMO,,普洛药业,下游,上游,空。,Industry: HealthCare,江苏先声药业有限公司,HealthCare
第一类新闻,建筑材料,熔岩管,,,中游,,Industry: Materials,北京空间机电研究所,Materials
第一类新闻,燃气和风力涡轮机,,通用电气,下游,中游,,Industry: Energy.,GE Vernova,Energy
第一类新闻,汽车电子产品,,生益电子,中游,下游,空。,Industry: Industrials,多家客户,Industrials
第一类新闻,能源,,中贝通信,上游,下游,2.4亿元-3.2亿元,Industry: Energy,浙储能源,Energy
第一类新闻,电池材料三元前驱体,华友钴业及其子公司,浦项化学,下游,约金额,16万吨。,Industry: Materials,,Materials
第一类新闻,汽车,涂装,中机汽车,中游,下游,3.65亿元,Industry: Industrials,吉利,Industrials
第一类新闻,智能摄像头和毫米波雷达,,纵目科技,中游,下游,,Industry: IT,奇瑞,IT
第一类新闻,电子产品,"AirPods,Apple Watch,MacBook组件",苹果,,下游,,Industry: IT,中国大陆供应商,IT
第一类新闻,DSP,,比亚迪,上游,中游,,Industry: IT,进芯电子科技有限公司,IT
第一类新闻,光伏组件,TITAN系列高效单晶PERC组件,"东方日升,,,威胜能源产业技术有限公司","上游,,,下游",,100MW。,Industry: Energy.,,Energy
第一类新闻,光伏组件,TITAN系列高效单晶PERC组件,"东方日升,,,威胜能源产业技术有限公司","上游,,,下游",,100MW。,Industry: Energy.,,Energy
第一类新闻,科技产业,,铁汉建设,中游产业链,下游产业链,2.28亿元。,Industry: IT.,中节能（漳州）,IT
第一类新闻,MEMS传感器,,日月光,中游,下游,,Industry: IT,凌森精密,IT
第一类新闻,碳陶刹车盘,楚江新材,汽车主机厂,,,,Industry: Materials.,,Materials
第一类新闻,云产品,,顺网科技,中游,中游,,Industry: IT,网鱼电竞,IT
第一类新闻,数字经济产业,,滨海—中关村科技园,上游,中游,空。,Industry: IT,12家科技创新企业,IT
第一类新闻,医疗设备,,江苏达实久信医疗科技有限公司,中游,下游,6060.17万元,Industry:HealthCare,重庆市黔江中心医院,HealthCare
第一类新闻,新能源汽车大功率无线充电系统,,安洁科技,上游,下游,,Industry: Energy.,终端汽车品牌,Energy
第一类新闻,音视频能力,,微软,中游,下游,空。,Industry: Information Technology (IT),海信,IT
第一类新闻,电力,,通用汽车,"下游,,空",,,Industry: Energy,福特,Energy
第一类新闻,电力,,通用汽车,"下游,,空",,,Industry: Energy,",谷歌",Energy
第一类新闻,电力,,通用汽车,"下游,,空",,,Industry: Energy,",太阳能生产商",Energy
第一类新闻,FC-BGA封装基板,,南电,中游,下游,,Industry: IT,,IT
第一类新闻,锂电池,宜丰银锂锂电新能源有限公司,江西江特矿业,下游,上游,4000万元,Industry: Materials.,富临精工,Materials
第一类新闻,药品,海灵药业,华信制药,下游,,空。,Industry: HealthCare.,,HealthCare
第一类新闻,药品,阿达木单抗注射液,迈威生物,下游,中游,,Industry: HealthCare.,君实生物,HealthCare
第一类新闻,图书,,京东,中游,中游,,Industry: Consumer Discretionary (CD),当当网,CD
第一类新闻,锂资源,,西藏矿业,上游,中游、中游、中游,,Industry: Materials,倍杰特,Materials
第一类新闻,纯电动汽车,黄海smile,宗申动力,生产/制造,下游,,Industry: Energy.,,Energy
第一类新闻,汽车用线缆,,卡倍亿,中游,下游,,Industry: Industrials.,汽车线束厂商,Industrials
第一类新闻,光模块,Arista 25/40/100G,,上游,中游,,Industry: IT。,北美一家重要数据中心客户,IT
第一类新闻,数据安全能力支撑服务,,东方通,中游,下游,,Industry: IT,陕西移动,IT
第一类新闻,锂电池,,科信技术,上游,中游,9063.57万元,Industry: Materials,中国移动,Materials
第一类新闻,锂电池,,科信技术,上游,中游,9063.57万元,Industry: Materials,爱立信,Materials
第一类新闻,UTG,,长信科技,中游,下游,,Industry: Financials.,OPPO,Financials
第一类新闻,光储一体化项目,,粤水电能源有限公司,中游,下游,108.49亿元,Industry: Energy.,巴楚能源公司,Energy
第一类新闻,黄金,,山东黄金,上游,中游,空。,Industry: Materials,甘肃资管,Materials
第一类新闻,光储一体化项目,,粤水电建筑安装建设有限公司,中游,下游,108.49亿元,Industry: Energy,粤水电能源有限公司,Energy
第一类新闻,电动汽车电池,,三星,中游,下游,,Industry: Materials,宝马,Materials
第一类新闻,钠离子电池,,普利特,下游,中游,,Industry: Energy,中科海钠科技有限责任公司,Energy
第一类新闻,电气元器件,,宁德时代,下游,上游,,Industry: Industrials,众业达子公司,Industrials
