datetime,content,title
2018/10/11 23:59,  现货白银扩大涨幅至2%，现报14.56美元/盎司。,
2018/10/11 23:53,纳指再度转涨。,
2018/10/11 23:49,哥伦比亚广播下跌2.2%。,
2018/10/11 23:45,现货黄金涨破1220美元/盎司关口，日内涨2.16%；现货白银现报14.54美元/盎司，日内涨1.9%。,
2018/10/11 23:41,美国总统特朗普：美联储引发市场调整，美联储正在犯错。不会解雇美联储主席鲍威尔。,
2018/10/11 23:40,日本财政部高级官员：如果市场走势仍然非常不稳定，就必须考虑某种回应措施。,
2018/10/11 23:38,在岸人民币兑美元（CNY）北京时间23:30收报6.8888元，较周三夜盘收盘涨352点；全天成交量388.43亿美元，较周三增加41.57亿美元。,
2018/10/11 23:32,焦炭夜盘收涨1.12%，焦煤收涨0.22%，动力煤收涨0.03%；铁矿石收涨0.39%。橡胶夜盘收跌0.37%，沥青收涨0.48%。,
2018/10/11 23:31,富时泛欧绩优300指数初步收跌1.98%。,
2018/10/11 23:29,洛克希德马丁下跌1.6%。,
2018/10/11 23:26,美国国会参议院Warner：特朗普关于美联储的表态“绝对不”合适。,
2018/10/11 23:24,惠誉：伊朗、委内瑞拉和美国的页岩油产出将推动油价走势。,
2018/10/11 23:19,墨西哥股指跌1%，至逾三个月盘中新低，追随道指一度跌约360点的遭遇。,
2018/10/11 23:16,日本财务大臣麻生太郎：政府密切关注包括外汇在内的金融市场动向。,
2018/10/11 23:16,纳指跌超1%，意味着美国三大股指跌幅均超过1%，其中道指目前跌约360点。美国科技股中，苹果跌幅重新超过1%，特斯拉跌2.4%，亚马逊跌3.6%。,
2018/10/11 23:15,英国富时100指数跌2%，追随道指跌超300点的遭遇。,
2018/10/11 23:15,布油下跌超2美元/桶。美元兑加元抹除0.3%的跌幅，得益于油价下跌。,
2018/10/11 23:14,  英镑兑美元GBP/USD短线下挫逾三十点，现报1.3189。,
2018/10/11 23:13,  道指自7月9日以来首次跌破100日移动均线，现跌1.34%或345点。,
2018/10/11 23:10,蔚来汽车跌幅扩大至将近10%。,
2018/10/11 23:09,标普500指数跌破200日均线，为5月4日以来首次。,
2018/10/11 23:09,现货黄金涨幅扩大至2%，日内波幅超28美元，现报1219.01美元/盎司，白银涨1.58%，报14.51美元/盎司。,
2018/10/11 23:06,英国政府发言人Alison Donnelly：英国仍打算在适当时候就北爱尔兰后备的监管方面提出新建议。,
2018/10/11 23:05,道指跌300点，标普500指数跌1.25%。,
2018/10/11 23:02,道指跌超200点，标普500指数跌约0.9%，纳指跌超0.5%。美国科技股中，亚马逊跌超3%；中概股蔚来汽车跌超9%。,
2018/10/11 23:02,螺纹钢、热轧卷板分别收涨1.17%、0.69%；橡胶收跌0.37%，沥青收涨0.48%。,
2018/10/11 23:01,Merrick任命Pet Care为新CEO。,
2018/10/11 23:00,SQ下跌15%。,
2018/10/11 23:00,WTI原油期货在EIA原油库存周报发布后走高。,
2018/10/11 23:00,美国10月5日当周EIA原油库存变动 598.7万桶，预期 280万桶，前值 797.5万桶。,
2018/10/11 22:58,【专家：目前美股在顶部 A股在底部】前海开源基金首席经济学家杨德龙指出，近期美债收益率不断上升，特别是被全球投资者视为无风险收益率的”10年期美债收益率“突破了3.22%，是美股暴跌的一个重要原因。因为美债收益率是全球风险资产定价的标准，它的大幅上涨会导致整个市场的情绪出现极大的波动，甚至造成极度的恐慌。杨德龙认为，当前中美两国股市所处的位置并不相同。“美股是在见顶之后开始回落的阶段，而A股是在逐步筑底的过程，所以A股的位置是在底部，而美股的位置是在顶部”。（21世纪经济报道）,
2018/10/11 22:52,【中国证券报：多家公司发声维稳股价，熔断底以来大跌后都有反弹】对于今日A股的大跌，分析人士指出，主要是受外围市场的冲击，使得本来情绪面脆弱的A股出现了集中宣泄似的调整。对于今天的大调整，前海方舟资本总裁成书新认为，跌势即使明日开始趋缓但弱势格局难改。博时基金宏观策略部表示，A股大幅下跌之后，短期进一步下跌的空间较小，全球股市也较难持续上演危机模式，后续随着美股企稳，A股或有望走出反弹行情。星石投资指出，相比年初，A股已经经过前期的深度调整，风险释放相对充分。同时海外的压力可能会促进国内政策更加积极，一定程度上对冲海外冲击。,
2018/10/11 22:50,意大利媒体：副总理De Maio表示政府将根据预算法削减5亿欧元的军备开支。,
2018/10/11 22:46,【进入中国私募行业的全球顶级资管公司已增至10家】近期，全球最大保险集团安盛AXA旗下安盛海外投资基金管理（上海）有限公司和荷宝Robeco旗下荷宝海外投资基金管理（上海）有限公司也拿到了国内私募基金牌照。目前已经有富达、瑞银资管、贝莱德、施罗德、桥水等14家外资机构在基金业协会登记成私募证券投资基金管理人，也有英仕曼、惠理、贝莱德、野村、法巴等14家QDLP机构在协会登记成其他私募投资基金管理人。全球TOP50的顶级资产管理公司中，已有10家在协会拿到了私募牌照。（中国基金报）,
2018/10/11 22:42,钯金刷新1月26日以来新高，报1096.8美元/盎司。,
2018/10/11 22:42,阿里巴巴目前上涨1%。,
2018/10/11 22:39,道指跌幅重新超过100点。,
2018/10/11 22:35,在岸人民币兑美元涨超0.5%，报6.8875元。,
2018/10/11 22:31,【证券时报网：廓清迷雾恢复信心，积极作为稳定股市】综合来看，A股当前走势疲弱，对外围变化杯弓蛇影，并非因为估值虚高，也不是因为基本面真的如何不堪，根本原因还在于信心缺失。A股要走稳、走好，首要任务是恢复信心，挺直脊梁。要理性看待经济形势、理性看待股市估值，打破悲观情绪的相互传染和相互加强，还需要决策层积极施策，更有作为。今天，股市服务实体经济的作用越来越重要，股市走稳走好对整个经济血脉通畅，对降低金融风险，对社会和谐稳定都有重要意义。当前中美贸易摩擦未止，股市在某种意义上也是一个角力场，股市走好了对应对贸易摩擦也能起到推动作用。因此，恢复股市信心应成为共识，要适当推出一些积极的政策措施，向投资者释放出政府重视股市的信号，上市公司、金融机构等市场参与者也应主动为改善市场情绪恢复市场信心各出其力，共同促进积极局面的形成。,
2018/10/11 22:31,传中国可能考虑加入跨太平洋贸易协定CPTPP。（南华早报）,
