news_type,industry,product,provider,buyer,provider_location,buyer_location,bill
第一类新闻,家电、家具和日用品,空,珠三角地区生产的家电、家具和日用品,空,下游,空,空
第一类新闻,风能,空,金盘科技,甘肃瓜州宝丰风能开发有限公司,中游,下游,1.5亿元。
第一类新闻,CDMO,空,普洛药业,江苏先声药业有限公司,下游,上游,空。
第一类新闻,建筑材料,熔岩管,空,北京空间机电研究所,空,中游,空
第一类新闻,口罩,空,粤万年青,空,中游,空,空
第一类新闻,医疗保健,空,通用电气,空,上游,空,空
第一类新闻,燃气和风力涡轮机,空,通用电气,GE Vernova,下游,中游,空
第一类新闻,空,智信,梦网科技,联通在线,上游,中游,空
第一类新闻,汽车电子产品,空,生益电子,多家客户,中游,下游,空。
第一类新闻,BC电池线路,空,帝尔激光,空,中游,下游,40GW
第一类新闻,PERC电池,空,帝尔激光,空,中游,下游,100GW
第一类新闻,风电,空,中国电建集团江西省电力建设有限公司,空,中游,中标金额,"51.39亿元,,,58.08亿元"
第一类新闻,风电,空,中国电建集团江西省电力建设有限公司,空,中游,上游,"51.39亿元,,,58.08亿元"
第一类新闻,能源,空,中贝通信,浙储能源,上游,下游,2.4亿元-3.2亿元
第一类新闻,电池材料三元前驱体,华友钴业及其子公司,浦项化学,中游,下游,约金额,16万吨。
第一类新闻,汽车,涂装,中机汽车,吉利商用车,中游,下游,3.65亿元
第一类新闻,智能摄像头和毫米波雷达,空,纵目科技,奇瑞新能源,中游,下游,空
第一类新闻,电子产品,"AirPods,Apple Watch,MacBook组件",苹果公司,中国大陆供应商,空,下游,空
第一类新闻,半导体固晶设备,空,联得装备,空,中游,下游,空
第一类新闻,DSP,空,比亚迪,进芯电子科技有限公司,上游,中游,空
第一类新闻,XR头戴装置,和硕，空,中游，空,空,2023年第一季度末,空,订单金额：空
第一类新闻,光伏组件,TITAN系列高效单晶PERC组件,"东方日升,,,威胜能源产业技术有限公司","上游,,,下游","上游,,,下游",空,100MW。
第一类新闻,科技产业,空,子公司铁汉建设,中节能（漳州）,中游产业链,下游产业链,2.28亿元。
第一类新闻,光伏,"硅料, 硅片",空,空,上游,下游,空
第一类新闻,MEMS传感器,空,日月光,凌森精密,中游,下游,空
第一类新闻,碳陶刹车盘,楚江新材,汽车主机厂,下游,空,空,空
第一类新闻,化工,空,青松建化,空,上游,中游,41607万元
第一类新闻,云产品,空,顺网科技,网鱼电竞,中游,中游,空
第一类新闻,空,空,空,空,空,空,空
第一类新闻,数字经济产业,空,滨海—中关村科技园,12家科技创新企业,上游,中游,空。
第一类新闻,医疗设备,空,江苏达实久信医疗科技有限公司,重庆市黔江中心医院,中游,下游,6060.17万元
第一类新闻,空,集中式购物中心,港城集团,印力集团,空,空,空。
第一类新闻,半导体光电产业,空,深康佳A,空,下游,上游,空
第一类新闻,碳化硅衬底,空,东尼半导体,T,下游,下游,6.75亿元
第一类新闻,真空泵,空,汉钟精机,空,中游,空,空
第一类新闻,汽车产业,空,空,空,空,空,订单金额：空
第一类新闻,新能源汽车大功率无线充电系统,空,安洁科技,终端汽车品牌,上游,下游,空
第一类新闻,音视频能力,空,微软,海信,中游,下游,空。
第一类新闻,中成药,柴胡颗粒、金荞麦片,精华制药,空,上游,中游,空
第一类新闻,电力,空,通用汽车,"福特,,,,谷歌,,,,太阳能生产商","下游,,空",空,空
第一类新闻,FC-BGA封装基板,空,深南电路,客户,中游,下游,空
第一类新闻,空,空,唐源电气,成都唐源信测科技有限公司,上游,下游,1000万元。
